DATE,WEEKENDS
1/1/13,2
1/2/13,3
1/3/13,4
1/4/13,5
1/5/13,6
1/6/13,7
1/7/13,1
1/8/13,2
1/9/13,3
1/10/13,4
1/11/13,5
1/12/13,6
1/13/13,7
1/14/13,1
1/15/13,2
1/16/13,3
1/17/13,4
1/18/13,5
1/19/13,6
1/20/13,7
1/21/13,1
1/22/13,2
1/23/13,3
1/24/13,4
1/25/13,5
1/26/13,6
1/27/13,7
1/28/13,1
1/29/13,2
1/30/13,3
1/31/13,4
2/1/13,5
2/2/13,6
2/3/13,7
2/4/13,1
2/5/13,2
2/6/13,3
2/7/13,4
2/8/13,5
2/9/13,6
2/10/13,7
2/11/13,1
2/12/13,2
2/13/13,3
2/14/13,4
2/15/13,5
2/16/13,6
2/17/13,7
2/18/13,1
2/19/13,2
2/20/13,3
2/21/13,4
2/22/13,5
2/23/13,6
2/24/13,7
2/25/13,1
2/26/13,2
2/27/13,3
2/28/13,4
3/1/13,5
3/2/13,6
3/3/13,7
3/4/13,1
3/5/13,2
3/6/13,3
3/7/13,4
3/8/13,5
3/9/13,6
3/10/13,7
3/11/13,1
3/12/13,2
3/13/13,3
3/14/13,4
3/15/13,5
3/16/13,6
3/17/13,7
3/18/13,1
3/19/13,2
3/20/13,3
3/21/13,4
3/22/13,5
3/23/13,6
3/24/13,7
3/25/13,1
3/26/13,2
3/27/13,3
3/28/13,4
3/29/13,5
3/30/13,6
3/31/13,7
4/1/13,1
4/2/13,2
4/3/13,3
4/4/13,4
4/5/13,5
4/6/13,6
4/7/13,7
4/8/13,1
4/9/13,2
4/10/13,3
4/11/13,4
4/12/13,5
4/13/13,6
4/14/13,7
4/15/13,1
4/16/13,2
4/17/13,3
4/18/13,4
4/19/13,5
4/20/13,6
4/21/13,7
4/22/13,1
4/23/13,2
4/24/13,3
4/25/13,4
4/26/13,5
4/27/13,6
4/28/13,7
4/29/13,1
4/30/13,2
5/1/13,3
5/2/13,4
5/3/13,5
5/4/13,6
5/5/13,7
5/6/13,1
5/7/13,2
5/8/13,3
5/9/13,4
5/10/13,5
5/11/13,6
5/12/13,7
5/13/13,1
5/14/13,2
5/15/13,3
5/16/13,4
5/17/13,5
5/18/13,6
5/19/13,7
5/20/13,1
5/21/13,2
5/22/13,3
5/23/13,4
5/24/13,5
5/25/13,6
5/26/13,7
5/27/13,1
5/28/13,2
5/29/13,3
5/30/13,4
5/31/13,5
6/1/13,6
6/2/13,7
6/3/13,1
6/4/13,2
6/5/13,3
6/6/13,4
6/7/13,5
6/8/13,6
6/9/13,7
6/10/13,1
6/11/13,2
6/12/13,3
6/13/13,4
6/14/13,5
6/15/13,6
6/16/13,7
6/17/13,1
6/18/13,2
6/19/13,3
6/20/13,4
6/21/13,5
6/22/13,6
6/23/13,7
6/24/13,1
6/25/13,2
6/26/13,3
6/27/13,4
6/28/13,5
6/29/13,6
6/30/13,7
7/1/13,1
7/2/13,2
7/3/13,3
7/4/13,4
7/5/13,5
7/6/13,6
7/7/13,7
7/8/13,1
7/9/13,2
7/10/13,3
7/11/13,4
7/12/13,5
7/13/13,6
7/14/13,7
7/15/13,1
7/16/13,2
7/17/13,3
7/18/13,4
7/19/13,5
7/20/13,6
7/21/13,7
7/22/13,1
7/23/13,2
7/24/13,3
7/25/13,4
7/26/13,5
7/27/13,6
7/28/13,7
7/29/13,1
7/30/13,2
7/31/13,3
8/1/13,4
8/2/13,5
8/3/13,6
8/4/13,7
8/5/13,1
8/6/13,2
8/7/13,3
8/8/13,4
8/9/13,5
8/10/13,6
8/11/13,7
8/12/13,1
8/13/13,2
8/14/13,3
