"STATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","2013-01-01","0.00","0.0",,"37","20"
"USW00014739","2013-01-02","0.00","0.0",,"30","12"
"USW00014739","2013-01-03","0.00","0.0",,"25","7"
"USW00014739","2013-01-04","0.00","0.0",,"38","21"
"USW00014739","2013-01-05","0.00","0.0",,"42","27"
"USW00014739","2013-01-06","0.00","0.0",,"43","28"
"USW00014739","2013-01-07","0.00","0.0",,"39","29"
"USW00014739","2013-01-08","0.00","0.0",,"46","28"
"USW00014739","2013-01-09","0.00","0.0",,"46","28"
"USW00014739","2013-01-10","0.00","0.0",,"47","35"
"USW00014739","2013-01-11","0.12","0.0",,"40","31"
"USW00014739","2013-01-12","0.01","0.0",,"44","38"
"USW00014739","2013-01-13","0.00","0.0",,"51","40"
"USW00014739","2013-01-14","0.00","0.0",,"61","42"
"USW00014739","2013-01-15","0.00","0.0",,"42","35"
"USW00014739","2013-01-16","0.37","3.2",,"36","30"
"USW00014739","2013-01-17","0.00","0.0",,"42","30"
"USW00014739","2013-01-18","0.00","0.0",,"30","19"
"USW00014739","2013-01-19","0.00","0.0",,"49","24"
"USW00014739","2013-01-20","0.00","0.0",,"54","29"
"USW00014739","2013-01-21","0.01","0.4",,"30","23"
"USW00014739","2013-01-22","0.00","0.0",,"25","15"
"USW00014739","2013-01-23","0.00","0.0",,"17","8"
"USW00014739","2013-01-24","0.00","0.0",,"21","4"
"USW00014739","2013-01-25","0.01","0.1",,"24","10"
"USW00014739","2013-01-26","0.01","0.2",,"25","13"
"USW00014739","2013-01-27","0.00","0.0",,"32","14"
"USW00014739","2013-01-28","0.17","1.0",,"31","21"
"USW00014739","2013-01-29","0.01","0.1",,"34","27"
"USW00014739","2013-01-30","0.06","0.0",,"60","33"
"USW00014739","2013-01-31","0.31","0.0",,"60","32"
"USW00014739","2013-02-01","0.00","0.0",,"34","23"
"USW00014739","2013-02-02","0.00","0.0",,"30","19"
"USW00014739","2013-02-03","0.03","0.6",,"27","23"
"USW00014739","2013-02-04","0.00","0.0",,"31","22"
"USW00014739","2013-02-05","0.03","0.6",,"27","22"
"USW00014739","2013-02-06","0.05","0.7",,"40","26"
"USW00014739","2013-02-07","0.00","0.0",,"30","18"
"USW00014739","2013-02-08","0.85","10.1",,"34","20"
"USW00014739","2013-02-09","1.00","14.8",,"20","15"
"USW00014739","2013-02-10","0.00","0.0",,"36","15"
"USW00014739","2013-02-11","0.20","0.0",,"45","20"
"USW00014739","2013-02-12","0.00","0.0",,"44","36"
"USW00014739","2013-02-13","0.00","0.0",,"42","30"
"USW00014739","2013-02-14","0.00","0.0",,"42","32"
"USW00014739","2013-02-15","0.00","0.0",,"47","30"
"USW00014739","2013-02-16","0.01","0.1",,"38","32"
"USW00014739","2013-02-17","0.20","5.1",,"32","18"
"USW00014739","2013-02-18","0.00","0.0",,"33","16"
"USW00014739","2013-02-19","0.45","0.0",,"45","26"
"USW00014739","2013-02-20","0.01","0.0",,"43","27"
"USW00014739","2013-02-21","0.00","0.0",,"33","25"
"USW00014739","2013-02-22","0.00","0.0",,"38","26"
"USW00014739","2013-02-23","0.23","0.0",,"38","32"
"USW00014739","2013-02-24","0.82","1.8",,"38","29"
"USW00014739","2013-02-25","0.01","0.2",,"41","28"
"USW00014739","2013-02-26","0.00","0.0",,"41","29"
"USW00014739","2013-02-27","1.37","0.0",,"40","38"
"USW00014739","2013-02-28","0.00","0.0",,"44","33"
"USW00014739","2013-03-01","0.00","0.0",,"41","34"
"USW00014739","2013-03-02","0.00","0.0",,"42","34"
"USW00014739","2013-03-03","0.00","0.0",,"43","33"
"USW00014739","2013-03-04","0.00","0.0",,"41","31"
"USW00014739","2013-03-05","0.00","0.0",,"43","32"
"USW00014739","2013-03-06","0.05","0.0",,"41","35"
"USW00014739","2013-03-07","0.46","2.6",,"37","30"
"USW00014739","2013-03-08","0.94","10.5",,"42","28"
"USW00014739","2013-03-09","0.00","0.0",,"38","31"
"USW00014739","2013-03-10","0.00","0.0",,"37","28"
"USW00014739","2013-03-11","0.00","0.0",,"50","35"
"USW00014739","2013-03-12","0.29","0.0",,"53","39"
"USW00014739","2013-03-13","0.00","0.0",,"51","39"
"USW00014739","2013-03-14","0.00","0.0",,"39","23"
"USW00014739","2013-03-15","0.00","0.0",,"41","21"
"USW00014739","2013-03-16","0.00","0.0",,"40","30"
"USW00014739","2013-03-17","0.00","0.0",,"38","25"
"USW00014739","2013-03-18","0.12","0.9",,"33","21"
"USW00014739","2013-03-19","1.35","6.3",,"36","28"
"USW00014739","2013-03-20","0.00","0.0",,"39","26"
"USW00014739","2013-03-21","0.02","0.3",,"35","30"
"USW00014739","2013-03-22","0.00","0.0",,"40","29"
"USW00014739","2013-03-23","0.00","0.0",,"44","30"
"USW00014739","2013-03-24","0.00","0.0",,"48","33"
"USW00014739","2013-03-25","0.00","0.0",,"44","33"
"USW00014739","2013-03-26","0.05","0.0",,"50","34"
"USW00014739","2013-03-27","0.00","0.0",,"55","36"
"USW00014739","2013-03-28","0.00","0.0",,"48","38"
"USW00014739","2013-03-29","0.01","0.0",,"56","40"
"USW00014739","2013-03-30","0.00","0.0",,"54","40"
"USW00014739","2013-03-31","0.03","0.0",,"59","34"
"USW00014739","2013-04-01","0.12","0.0","49","62","35"
"USW00014739","2013-04-02","0.00","0.0","36","42","31"
"USW00014739","2013-04-03","0.00","0.0","37","47","31"
"USW00014739","2013-04-04","0.00","0.0","41","56","32"
"USW00014739","2013-04-05","0.00","0.0","46","57","38"
"USW00014739","2013-04-06","0.00","0.0","41","47","33"
"USW00014739","2013-04-07","0.00","0.0","42","54","32"
"USW00014739","2013-04-08","0.00","0.0","51","63","46"
"USW00014739","2013-04-09","0.06","0.0","53","73","45"
"USW00014739","2013-04-10","0.19","0.0","47","54","45"
"USW00014739","2013-04-11","0.04","0.0","46","49","42"
"USW00014739","2013-04-12","0.35","0.0","40","43","38"
"USW00014739","2013-04-13","0.02","0.0","40","51","36"
"USW00014739","2013-04-14","0.00","0.0","48","55","42"
"USW00014739","2013-04-15","0.00","0.0","45","49","38"
"USW00014739","2013-04-16","0.00","0.0","50","64","39"
"USW00014739","2013-04-17","0.00","0.0","58","66","47"
"USW00014739","2013-04-18","0.00","0.0","51","63","45"
"USW00014739","2013-04-19","0.05","0.0","61","75","53"
"USW00014739","2013-04-20","0.38","0.0","58","65","44"
"USW00014739","2013-04-21","0.00","0.0","45","50","37"
"USW00014739","2013-04-22","0.00","0.0","43","49","36"
"USW00014739","2013-04-23","0.13","0.0","42","43","41"
"USW00014739","2013-04-24","0.00","0.0","50","69","43"
"USW00014739","2013-04-25","0.03","0.0","56","66","48"
"USW00014739","2013-04-26","0.00","0.0","49","52","44"
"USW00014739","2013-04-27","0.00","0.0","49","56","42"
"USW00014739","2013-04-28","0.00","0.0","53","63","44"
"USW00014739","2013-04-29","0.00","0.0","56","68","48"
"USW00014739","2013-04-30","0.00","0.0","54","61","47"
"USW00014739","2013-05-01","0.00","0.0","53","60","45"
"USW00014739","2013-05-02","0.00","0.0","56","70","47"
"USW00014739","2013-05-03","0.00","0.0","49","53","44"
"USW00014739","2013-05-04","0.00","0.0","49","52","44"
"USW00014739","2013-05-05","0.00","0.0","47","53","40"
"USW00014739","2013-05-06","0.00","0.0","47","55","43"
"USW00014739","2013-05-07","0.00","0.0","57","72","47"
"USW00014739","2013-05-08","0.37","0.0","59","66","53"
"USW00014739","2013-05-09","0.61","0.0","55","63","53"
"USW00014739","2013-05-10","0.06","0.0","60","69","56"
"USW00014739","2013-05-11","0.02","0.0","64","72","59"
"USW00014739","2013-05-12","0.04","0.0","63","73","51"
"USW00014739","2013-05-13","0.00","0.0","54","60","46"
"USW00014739","2013-05-14","0.00","0.0","51","60","44"
"USW00014739","2013-05-15","0.00","0.0","55","67","44"
"USW00014739","2013-05-16","0.00","0.0","66","82","53"
"USW00014739","2013-05-17","0.00","0.0","63","70","54"
"USW00014739","2013-05-18","0.00","0.0","58","67","51"
"USW00014739","2013-05-19","0.17","0.0","57","63","50"
"USW00014739","2013-05-20","0.04","0.0","64","82","56"
